Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
avicii,Lonely Together,0.683,22,0.65,1,0.228,0.55672,0.017395,0.493475,0.068456,0.203281,0.117145,0.017484,0.521284,0.07607,0.613845,0
avicii,So Much Better (Avicii Remix),0.659,22,0.775,0,0.258,0.668734,0.079005,0.272725,0.044417,0.15748,0.50185,0.289859,0.210989,0.009121,0.066409,0
avicii,What Would I Change It To,0.501,22,0.787,1,0.535,0.116642,0.534208,0.370106,0.019245,0.066675,0.61563,0.532325,0.081455,0.080619,0.113786,0
avicii,Without You,0.863,22,0.653,1,0.276,0.524426,0.023399,0.628528,0.030519,0.044753,0.650164,0.075888,0.221011,0.028741,0.27089,0
avicii,You Be Love,0.471,22,0.824,0,0.553,0.220075,0.433294,0.133172,0.053302,0.13309,0.029993,0.389486,0.002841,0.000609,0.002545,0
Badfinger,Come On,0.877,3,0.519,1,0.717,0.428785,0.416169,0.064478,0.023707,0.171035,0.153447,0.328575,0.140589,0.071614,0.12738,0
Badfinger,Dennis,0.666,3,0.329,1,0.547,0.061348,0.425657,0.467841,0.13389,0.066499,0.548347,0.205348,0.044473,0.097251,0.248512,0
Badfinger,Just A Chance,0.752,3,0.398,1,0.71,0.514236,0.050308,0.193708,0.048115,0.143655,0.63191,0.012463,0.280514,0.090544,0.252588,0
Badfinger,Know One Knows,0.743,3,0.475,0,0.548,0.486107,0.304272,0.234288,0.021502,0.074984,0.108436,0.730176,0.068314,0.037594,0.053366,0
Badfinger,Rock N' Roll Contract,0.841,3,0.325,0,0.49,0.701646,0.062193,0.118404,0.104477,0.240947,0.154045,0.209924,0.163634,0.066356,0.120948,0
Badfinger,Three Time Loser,0.897,3,0.627,1,0.874,0.515507,0.22886,0.133895,0.168,0.118165,0.609175,0.064401,0.069821,0.168463,0.356413,0
Badfinger,Too Hung Up On You,0.731,3,0.649,1,0.721,0.210235,0.272624,0.149741,0.153876,0.114252,0.693173,0.022259,0.147759,0.086962,0.364451,0
Billie Holiday,Gloomy Sunday,0.0823,6,0.484,0,0.191,0.274873,0.306347,0.040596,0.005224,0.496923,0.229971,0.338509,0.547,0.00053,0.01277,0
Bob Brozman,The Lonesome Road,0.127,7,0.56,1,0.36,0.457361,0.204122,0.238156,0.058784,0.029774,0.051103,0.551653,0.055193,0.198594,0.114412,0
Chris Cornell,Before We Disappear,0.673,8,0.399,1,0.326,0.317384,0.496134,0.11781,0.048092,0.109866,0.44261,0.025406,0.685311,0.035944,0.046943,0
Chris Cornell,Bend In The Road,0.58,8,0.367,1,0.304,0.191621,0.693554,0.017372,0.003055,0.129111,0.612576,0.248794,0.139038,0.064397,0.045792,0
Chris Cornell,Circling,0.441,8,0.406,1,0.104,0.569551,0.041718,0.554285,0.025083,0.072979,0.335693,0.489924,0.154446,0.026764,0.085447,0
Chris Cornell,Dead Wishes,0.716,8,0.572,1,0.343,0.615354,0.218436,0.178887,0.104381,0.04768,0.795809,0.093513,0.102527,0.058302,0.140224,0
Chris Cornell,Higher Truth,0.792,8,0.595,0,0.611,0.672986,0.063663,0.131557,0.106099,0.28499,0.479485,0.217468,0.196619,0.068438,0.136569,0
Chris Cornell,Josephine,0.379,8,0.299,1,0.222,0.543885,0.035203,0.193867,0.275321,0.320851,0.123485,0.673944,0.085654,0.075893,0.122748,0
Chris Cornell,Let Your Eyes Wander,0.294,8,0.516,1,0.579,0.211684,0.626149,0.073351,0.060451,0.108624,0.129981,0.749993,0.063371,0.04376,0.033951,0
Chris Cornell,Misery Chain,0.338,8,0.456,0,0.115,0.602662,0.524435,0.14216,0.092139,0.187927,0.721122,0.19127,0.08519,0.065486,0.129457,0
Chris Cornell,Murderer Of Blue Skies,0.745,8,0.492,1,0.32,0.214904,0.233325,0.099033,0.141549,0.499764,0.383639,0.067056,0.387951,0.059334,0.225736,0
Chris Cornell,Nearly Forgot My Broken Heart,0.792,8,0.595,0,0.611,0.375369,0.065137,0.427198,0.162104,0.338014,0.885163,0.013676,0.173622,0.086631,0.0706,0
Chris Cornell,Only These Words,0.634,8,0.556,1,0.789,0.247467,0.672878,0.043268,0.032027,0.041523,0.133507,0.684677,0.069854,0.083578,0.026534,0
Chris Cornell,Our Time In The Universe,0.865,8,0.521,0,0.415,0.358566,0.401786,0.136081,0.00978,0.201823,0.18826,0.205945,0.686933,0.016832,0.040598,0
Chris Cornell,Through The Window,0.479,8,0.528,1,0.376,0.766712,0.078323,0.134957,0.143501,0.076859,0.799711,0.057616,0.205917,0.086355,0.059107,0
Chris Cornell,Worried Moon,0.755,8,0.534,1,0.479,0.091185,0.476891,0.513639,0.003359,0.004311,0.087467,0.027292,0.947302,0.023889,0.016457,0
Chris Cornell,Wrong Side,0.661,8,0.392,0,0.158,0.639452,0.053254,0.156443,0.055125,0.38202,0.413373,0.14878,0.172499,0.21749,0.334663,0
Del Shannon,Runaway,0.629,1,0.715,1,0.853,0.249214,0.656907,0.125629,0.001989,0.01207,0.767237,0.021319,0.242946,0.041519,0.180976,0
Donny Hathaway,Come Little Children,0.781,9,0.685,1,0.861,0.697687,0.215683,0.083594,0.073947,0.049782,0.354858,0.282012,0.215744,0.152589,0.096697,0
