Artist,Song Title,anger,joy,fear,sadness,surprise
The Raphaels,Toujour Aimez,0.0660247877,0.0693252832,0.2095521688,0.3547943234,0.3003034592
The Whitlams,End of Your World,0.4374084771,0.026052376300000003,0.0551189184,0.4637261629,0.0176940467
The Whitlams,Following My Own Tracks,0.18466681240000002,0.027504757,0.5496603251000001,0.2260907888,0.0120773595
The Whitlams,Hollow Log,0.2369011939,0.3116537333,0.1016252041,0.32890915870000004,0.0209106803
The Whitlams,Pass the Flagon,0.0651312917,0.0452495143,0.1112820134,0.7310422659,0.047294918400000004
The Whitlams,Shining,-1,-1,-1,-1,-1
The Whitlams,You don't even know my name,0.1431725621,0.1745096296,0.1097136289,0.5165458918,0.056058377000000006
Tommy Boyce,I Love You,-1,-1,-1,-1,-1
Viro the Virus,Exscape,0.16817581650000002,0.0426247679,0.28349107500000004,0.46652495860000004,0.0391833633
Viro the Virus,Heat,0.08548168090000001,0.1588877141,0.1227337569,0.2942818105,0.3386150599
Yavuz Cetin,Benimle Ucmak Ister misin,-1,-1,-1,-1,-1
Yavuz Cetin,Hersey Biter,-1,-1,-1,-1,-1
Yavuz Cetin,Köle,-1,-1,-1,-1,-1
Yavuz Cetin,Oyuncak Dünya,-1,-1,-1,-1,-1
Yavuz Cetin,Sadece Senin Olmak,-1,-1,-1,-1,-1
Yavuz Cetin,Yasamak Istemem,-1,-1,-1,-1,-1
